context_switches,cpu_migrations,page_faults,cycles,instructions,branches,branch_misses,seconds_time_elapsed,seconds_user,seconds_sys
467.0,138.0,59970.0,2425424146.0,2819077900.0,12992983.0,12896128.0,1.275668626,0.901466,0.314246
522.0,136.0,59990.0,2495432806.0,2819964930.0,581229263.0,13397906.0,1.330519197,0.953108,0.300217
546.0,125.0,59998.0,2427457854.0,2818486243.0,13110217.0,13500789.0,1.317804015,0.894135,0.302931
423.0,110.0,59957.0,2425246100.0,2816941493.0,581263233.0,13378388.0,1.274029071,0.860072,0.352483
456.0,138.0,59957.0,2487337387.0,2820705387.0,12950832.0,13171742.0,1.320454645,0.994638,0.25406
623.0,124.0,59941.0,2476298714.0,2819723633.0,581037470.0,13263069.0,1.283907416,0.885089,0.338674
417.0,102.0,59929.0,2387997205.0,2817340026.0,12946347.0,13162617.0,1.245201689,0.893437,0.276839
461.0,132.0,59952.0,2388895027.0,2818589134.0,581067980.0,12916701.0,1.283470219,0.966817,0.248314
496.0,131.0,59924.0,2451648434.0,2817755377.0,13154004.0,13328010.0,1.316656304,0.967778,0.288562
443.0,115.0,59921.0,2356497647.0,2816335067.0,581057994.0,12915996.0,1.234081124,0.890864,0.261208
390.0,107.0,59917.0,2379350930.0,2817016299.0,13121888.0,12901011.0,1.23657456,0.863808,0.310021
439.0,113.0,59918.0,2448803459.0,2818647553.0,581159658.0,13259301.0,1.287641776,0.907155,0.321621
418.0,107.0,59984.0,2386816085.0,2818165971.0,13055541.0,12922130.0,1.234826436,0.846503,0.322918
440.0,116.0,59971.0,2378283235.0,2817386869.0,581338235.0,12992983.0,1.244329908,0.824388,0.345964
446.0,116.0,59977.0,2392816288.0,2818269780.0,13020296.0,13110217.0,1.248044246,0.928278,0.251707
444.0,102.0,59978.0,2375450991.0,2818508836.0,581211873.0,12950832.0,1.246751335,0.860562,0.30614
447.0,115.0,59943.0,2378184258.0,2817384838.0,13006767.0,12946347.0,1.243997614,0.942014,0.227084
480.0,121.0,59896.0,2407787178.0,2817690957.0,581252971.0,13154004.0,1.284255995,0.883948,0.296797
425.0,130.0,59981.0,2396490157.0,2817449448.0,13115084.0,13121888.0,1.232223054,0.920635,0.244774
460.0,126.0,59915.0,2394838620.0,2818043478.0,581427368.0,13055541.0,1.255034898,0.87211,0.30946
