context_switches,cpu_migrations,page_faults,cycles,instructions,branches,branch_misses,seconds_time_elapsed,seconds_user,seconds_sys
424.0,131.0,59938.0,2392128330.0,2817030721.0,581439843.0,13050948.0,1.280574354,0.887612,0.283377
623.0,124.0,59941.0,2476298714.0,2819723633.0,13168748.0,13263069.0,1.283907416,0.885089,0.338674
428.0,119.0,59949.0,2382395381.0,2818309891.0,581515564.0,12872996.0,1.237661912,0.83049,0.336259
430.0,124.0,59940.0,2394201165.0,2817828029.0,13521216.0,12972704.0,1.253117379,0.854923,0.323495
459.0,124.0,59900.0,2431146543.0,2818040682.0,581610406.0,13139673.0,1.270473906,0.896741,0.305054
417.0,102.0,59929.0,2387997205.0,2817340026.0,13144026.0,13162617.0,1.245201689,0.893437,0.276839
483.0,151.0,59994.0,2418894260.0,2818611915.0,581639042.0,13278796.0,1.300428762,0.91508,0.273111
462.0,135.0,59897.0,2378263520.0,2817145687.0,13321896.0,13004342.0,1.287770071,0.915008,0.251398
404.0,112.0,60020.0,2370331537.0,2817274068.0,581741950.0,12886052.0,1.280086702,0.897505,0.267356
396.0,100.0,59873.0,2345570705.0,2816090184.0,13171742.0,12809289.0,1.213423,0.866786,0.283865
407.0,112.0,59973.0,2381479123.0,2817504422.0,581855283.0,13055103.0,1.247435405,0.843953,0.320774
489.0,122.0,59974.0,2513870802.0,2818534150.0,12950431.0,13440057.0,1.394430866,0.940397,0.323032
534.0,123.0,59974.0,2527585629.0,2819301924.0,581464074.0,13323390.0,1.388652049,0.962825,0.323028
490.0,108.0,59944.0,2480508068.0,2819886159.0,12881497.0,13146236.0,1.369547742,0.941124,0.315084
461.0,132.0,59952.0,2388895027.0,2818589134.0,581578922.0,12916701.0,1.283470219,0.966817,0.248314
496.0,131.0,59924.0,2451648434.0,2817755377.0,13362362.0,13328010.0,1.316656304,0.967778,0.288562
452.0,119.0,59954.0,2403046695.0,2818700798.0,581135009.0,12997034.0,1.291012547,0.912112,0.306048
448.0,126.0,59947.0,2528135810.0,2817428694.0,13132156.0,13683326.0,1.409218601,1.041566,0.263909
471.0,137.0,59965.0,2442245154.0,2819081866.0,581017563.0,13127283.0,1.335583285,0.8708,0.369389
444.0,122.0,59903.0,2410135889.0,2817943494.0,12903590.0,13282803.0,1.528508898,0.907755,0.291496
440.0,105.0,59914.0,2379636398.0,2818775334.0,581215755.0,12955435.0,1.251648002,0.913526,0.250478
472.0,129.0,59975.0,2468784045.0,2819291114.0,12841261.0,13309154.0,1.293058935,0.975752,0.265288
431.0,117.0,59934.0,2430206440.0,2817731775.0,580996936.0,13225219.0,1.267220294,0.869238,0.342362
470.0,132.0,59993.0,2398150442.0,2818686482.0,13050948.0,13116607.0,1.25653418,0.90045,0.279056
449.0,122.0,59993.0,2384748687.0,2817967648.0,581532261.0,13089641.0,1.243623975,0.882902,0.287347
452.0,100.0,59956.0,2392356631.0,2819907693.0,13263069.0,13277672.0,1.243997992,0.850803,0.322103
404.0,96.0,59936.0,2354196133.0,2817073462.0,581206491.0,12850254.0,1.218537473,0.869148,0.284959
380.0,114.0,59954.0,2403838198.0,2817814881.0,12872996.0,13079219.0,1.252462618,0.848555,0.330764
371.0,98.0,59972.0,2406322503.0,2818310722.0,581120380.0,13267432.0,1.245377489,0.834423,0.341102
412.0,103.0,59988.0,2377827718.0,2818468739.0,12972704.0,12813150.0,1.235968616,0.896908,0.27133
399.0,106.0,59954.0,2401397156.0,2817585870.0,581196517.0,13128893.0,1.23841363,0.86539,0.308931
